1、的、de、possessive, adjectival suffix、0
1、一、yī、one; a, an; alone、0
1、是、shì、indeed, yes, right; to be; demonstrative pronoun, this, that、0
1、不、bù、no, not; un-; negative prefix、0
1、了、le、to finish; particle of completed action、0
1、语、yǔ、language, words; saying, expression、0
1、七、qī、seven、0
1、兴、xìng、thrive, prosper, flourish、0
1、星、xīng、a star, planet; any point of light、0
1、京、jīng、capital city、0
1、米、mǐ、hulled or husked uncooked rice、0
1、客、kè、guest, traveller; customer、0
1、友、yǒu、friend, companion; fraternity、0
1、钱、qián、money, currency, coins、0
1、热、rè、hot; heat; fever; restless; zeal、0
1、坐、zuò、sit; seat; ride, travel by、0
1、校、xiào、school; military field officer、0
1、脑、nǎo、brain、0
1、谁、shuí、who? whom? whose? anyone?、0
1、哪、nǎ、which? where? how?、0
1、喜、xǐ、like, love, enjoy; joyful thing、0
1、习、xí、practice; flapping wings、0
1、欢、huān、happy, pleased, glad; joy; enjoy、0
1、冷、lěng、cold, cool; lonely、0
1、汉、hàn、Chinese people; Chinese language、0
1、衣、yī、clothes, clothing; cover, skin、0
1、妈、mā、mother, mama、0
1、读、dú、read, study; pronounce、0
1、买、mǎi、buy, purchase; bribe, persuade、0
1、岁、suì、year; age; harvest、0
1、块、kuài、piece, lump; dollar、0
1、姐、jiě、elder sister, young lady、0
1、亮、liàng、bright, brilliant, radiant, light、0
1、朋、péng、friend, pal, acquaintance、0
1、谢、xiè、thank; decline、0
1、钟、zhōng、clock; bell、0
1、雨、yǔ、rain; rainy; KangXi radical 173、0
1、饭、fàn、cooked rice; food, meal、0
1、睡、shuì、sleep, doze、0
1、喝、hē、drink; shout, call out、0
1、午、wǔ、noon; 7th terrestrial branch、0
1、店、diàn、shop, store; inn, hotel、0
1、爸、bà、father, papa、0
1、桌、zhuō、table, desk, stand、0
1、菜、cài、vegetables; dish, order; food、0
1、茶、chá、tea、0
1、狗、gǒu、dog, canis familiaris、0
1、杯、bēi、cup, glass、0
1、租、zū、rent, lease; rental; tax、0
1、昨、zuó、yesterday; in former times, past、0
1、漂、piào、float, drift; tossed about、0
1、椅、yǐ、chair, seat、0
1、猫、māo、cat、0
1、喂、wèi、interjection to call attention、0
1、苹、píng、artemisia; duckweed; apple、0
2、为、wèi、do, handle, govern, act; be、0
2、到、dào、go to, arrive, been to、0
2、以、yǐ、by means of; thereby, therefore; consider as; in order to、0
2、要、yào、necessary, essential; necessity、0
2、就、jiù、just, simply; to come, go to; to approach, near、0
2、可、kě、may, can, -able; possibly、0
2、也、yě、also; classical final particle of strong affirmation or identity、0
2、得、dé、obtain, get, gain, acquire、0
2、着、zhe、make move, take action、0
2、过、guò、pass, pass through, go across、0
2、道、dào、path, road, street; method, way、0
2、所、suǒ、place, location; numerary adjunct、0
2、然、rán、yes, certainly; pledge, promise、0
2、事、shì、affair, matter, business; to serve; accident, incident、0
2、经、jīng、classic works; pass through、0
2、动、dòng、move, happen; movement, action、0
2、还、hái、still, yet, also, besides、0
2、进、jìn、advance, make progress, enter、0
2、但、dàn、only; but, however, yet, still、0
2、因、yīn、cause, reason; by; because (of)、0
2、从、cóng、from, by, since, whence, through、0
2、日、rì、sun; day; daytime、0
2、意、yì、thought, idea, opinion; think、0
2、它、tā、it; other、0
2、长、zhǎng、long; length; excel in; leader、0
2、第、dì、sequence, number; grade, degree、0
2、公、gōng、fair, equitable; public; duke、0
2、已、yǐ、already; finished; stop、0
2、情、qíng、feeling, sentiment, emotion、0
2、知、zhī、know, perceive, comprehend、0
2、正、zhèng、right, proper, correct、0
2、外、wài、out, outside, external; foreign、0
2、两、liǎng、two, both, pair, couple; ounce、0
2、间、jiān、midpoint, space; place, locality、0
2、问、wèn、ask about, inquire after、0
2、最、zuì、most, extremely, exceedingly、0
2、手、shǒu、hand、0
2、体、tǐ、body; group, class, body, unit; inferior、0
2、等、děng、、0
2、新、xīn、new, recent, fresh, modern、0
2、身、shēn、body; trunk, hull; rad. no. 158、0
2、表、biǎo、show, express, manifest, display、0
2、给、gěi、give; by, for、0
2、次、cì、order, sequence; next、0
2、门、mén、gate, door, entrance, opening、0
2、常、cháng、common, normal, frequent, regular、0
2、教、jiào、teach, class、0
2、比、bǐ、to compare, liken; comparison; than、0
2、员、yuán、member; personnel, staff member、0
2、真、zhēn、real, actual, true, genuine、0
2、走、zǒu、walk, go on foot; run; leave、0
2、条、tiáo、clause, condition; string, stripe、0
2、题、tí、forehead; title, headline; theme、0
2、别、bié、separate, other; do not、0
2、报、bào、report, tell, announce、0
2、务、wù、affairs, business; must, should、0
2、场、chǎng、open space, field, market、0
2、件、jiàn、numerary adjunct for article; matter、0
2、便、biàn、convenience, ease; expedient、0
2、司、sī、take charge of, control, manage; officer、0
2、眼、yǎn、eye; eyelet, hole, opening、0
2、非、fēi、not, negative, non-; oppose、0
2、白、bái、white; pure, unblemished; bright、0
2、思、sī、think, consider, ponder; final particle、0
2、完、wán、complete, finish, settle; whole、0
2、色、sè、color, tint, hue, shade; form, body; beauty, desire for beauty、0
2、路、lù、road, path, street; journey、0
2、告、gào、tell, announce, inform; accuse、0
2、边、biān、edge, margin, side, border、0
2、望、wàng、to look at, look forward; to hope, expect、0
2、共、gòng、together with, all, total; to share、0
2、让、ràng、allow, permit, yield, concede、0
2、运、yùn、run; simplified form of 運 luck, fortune; ship, transport、0
2、笑、xiào、smile, laugh, giggle; snicker、0
2、步、bù、step, pace; walk, stroll、0
2、每、měi、every, each、0
2、快、kuài、rapid, quick, speedy, fast; soon、0
2、往、wǎng、go, depart; past, formerly、0
2、近、jìn、near, close; approach; intimate、0
2、夫、fū、man, male adult, husband; those、0
2、准、zhǔn、approve, allow, permit; in accord、0
2、始、shǐ、begin, start; then, only then、0
2、远、yuǎn、distant, remote, far; profound、0
2、备、bèi、prepare, ready, perfect、0
2、百、bǎi、one hundred; numerous, many、0
2、离、lí、rare beast; strange; elegant、0
2、病、bìng、illness, sickness, disease、0
2、息、xī、rest, put stop to, end, cease、0
2、火、huǒ、fire, flame; burn; anger, rage、0
2、早、zǎo、early; soon; morning、0
2、找、zhǎo、search, seek, look for; find、0
2、吧、ba、emphatic final particle、0
2、考、kǎo、examine, test; investigate、0
2、红、hóng、red, vermillion; blush, flush、0
2、虽、suī、although, even if、0
2、希、xī、rare; hope, expect, strive for、0
2、房、fáng、house, building; room、0
2、黑、hēi、black; dark; evil, sinister、0
2、足、zú、foot; attain, satisfy, enough、0
2、孩、hái、baby, child; children、0
2、站、zhàn、stand up; a stand, station、0
2、诉、sù、accuse; sue; inform; narrate、0
2、千、qiān、thousand; many, numerous; very; (Cant.) a cheater, swindler、0
2、男、nán、male, man; son; baron; surname、0
2、助、zhù、help, aid, assist、0
2、乐、lè、happy, glad; enjoyable; music、0
2、球、qiú、ball, sphere, globe; round、0
2、错、cuò、error, blunder, mistake; wrong、0
2、晚、wǎn、night, evening; late、0
2、试、shì、test, try, experiment、0
2、送、sòng、see off, send off; dispatch, give、0
2、药、yào、leaf of Dahurian angelica plant; medicine、0
2、游、yóu、to swim; float, drift; wander, roam、0
2、室、shì、room, home, house, chamber、0
2、您、nín、、0
2、帮、bāng、help, assist; defend; shoe upper、0
2、左、zuǒ、left; east; unorthodox, improper、0
2、右、yòu、right; west; right-wing、0
2、穿、chuān、penetrate, pierce, drill; wear、0
2、哥、gē、elder brother、0
2、弟、dì、young brother; junior; i, me、0
2、慢、màn、slow(ly), leisurely, sluggish、0
2、忙、máng、busy, pressed for time; hustling、0
2、介、jiè、forerunner, herald, harbinger; to lie between; sea shell; to wear armor、0
2、鱼、yú、fish; surname; KangXi radical 195、0
2、跑、pǎo、run, flee, leave in hurry、0
2、贵、guì、expensive, costly, valuable、0
2、班、bān、class, group, grade; squad; job、0
2、票、piào、slip of paper or bamboo; ticket、0
2、睛、jīng、eyeball; pupil of eye、0
2、旅、lǚ、trip, journey; travel; traveler、0
2、笔、bǐ、writing brush; write; stroke、0
2、卖、mài、sell; betray; show off、0
2、旁、páng、side; by side, close by, near、0
2、阴、yīn、、0
2、跳、tiào、jump, leap, vault, bounce; dance、0
2、雪、xuě、snow; wipe away shame, avenge、0
2、肉、ròu、flesh; meat; KangXi radical 130、0
2、馆、guǎn、public building、0
2、牛、niú、cow, ox, bull; KangXi radical93、0
2、纸、zhǐ、paper、0
2、歌、gē、song, lyrics; sing, chant; praise、0
2、床、chuáng、bed, couch; framework, chassis、0
2、玩、wán、play with, joke, enjoy、0
2、妻、qī、wife、0
2、休、xiū、rest, stop; retire; do not!、0
2、舞、wǔ、dance, posture, prance; brandish、0
2、姓、xìng、、0
2、妹、mèi、younger sister、0
2、汽、qì、steam, vapor, gas、0
2、课、kè、lesson; course; classwork、0
2、懂、dǒng、understand, comprehend、0
2、绍、shào、continue, carry on; join、0
2、丈、zhàng、unit of length equal 3.3 meters; gentleman, man, husband、0
2、洗、xǐ、wash, rinse; clean, purify、0
2、唱、chàng、sing, chant, call; ditty, song、0
2、奶、nǎi、、0
2、宜、yí、suitable, right, fitting, proper、0
2、累、lèi、tired; implicate, involve; bother、0
2、羊、yáng、sheep, goat; KangXi radical 123、0
2、零、líng、zero; fragment, fraction、0
2、蛋、dàn、eggs; term of abuse、0
2、鸡、jī、chicken、0
2、宾、bīn、guest, visitor; surname; submit、0
2、颜、yán、face, facial appearance、0
2、瓜、guā、melon, gourd, cucumber; rad. 97、0
2、晴、qíng、clear weather, fine weather、0
2、啡、fēi、morphine; coffee、0
2、篮、lán、basket、0
2、咖、kā、coffee; a phonetic、0
2、踢、tī、kick、0
2、泳、yǒng、dive; swim、0
2、铅、qiān、lead、0
3、地、de、earth; soil, ground; region、0
3、而、ér、and; and then; and yet; but、0
3、于、yú、in, on, at; go to; surname、0
3、自、zì、self, private, personal; from、0
3、发、fā、issue, dispatch, send out; hair、0
3、用、yòng、use, employ, apply, operate; use、0
3、行、xíng、go; walk; move, travel; circulate、0
3、种、zhǒng、seed; race, breed; to plant、0
3、成、chéng、completed, finished, fixed、0
3、方、fāng、a square, rectangle; a region; local、0
3、法、fǎ、law, rule, regulation, statute; France, French、0
3、如、rú、if, supposing; as if; like, as、0
3、当、dāng、bear, accept, undertake; just、0
3、定、dìng、decide, settle, fix、0
3、其、qí、his, her, its, their; that、0
3、主、zhǔ、master, chief owner; host; lord、0
3、理、lǐ、reason, logic; manage、0
3、心、xīn、heart; mind, intelligence; soul、0
3、只、zhǐ、only, just, simply、0
3、实、shí、real, true; honest, sincere、0
3、者、zhě、that which; he who; those who、0
3、力、lì、power, capability, influence、0
3、把、bǎ、hold, take; guard; regard as、0
3、又、yòu、and, also, again, in addition、0
3、业、yè、profession, business; GB radical 111、0
3、重、zhòng、heavy, weighty; double、0
3、物、wù、thing, substance, creature、0
3、应、yīng、should, ought to, must、0
3、向、xiàng、toward, direction, trend、0
3、头、tóu、head; top; chief, first; boss、0
3、文、wén、literature, culture, writing、0
3、相、xiāng、mutual, reciprocal, each other、0
3、被、bèi、、0
3、或、huò、or, either, else; perhaps, maybe、0
3、己、jǐ、self, oneself; personal, private; 6th heavenly stem、0
3、加、jiā、add to, increase, augment、0
3、特、tè、special, unique, distinguished、0
3、信、xìn、trust, believe; letter、0
3、化、huà、change, convert, reform; -ize、0
3、世、shì、generation; world; era、0
3、位、wèi、throne; position, post; rank, status; seat、0
3、声、shēng、sound, voice, noise; tone; music、0
3、提、tí、hold in hand; lift in hand、0
3、解、jiě、loosen, unfasten, untie; explain、0
3、口、kǒu、mouth; open end; entrance, gate、0
3、平、píng、flat, level, even; peaceful、0
3、更、gèng、more, still further, much more、0
3、变、biàn、change, transform, alter; rebel、0
3、总、zǒng、collect; overall, altogether、0
3、数、shù、number; several, count; fate、0
3、安、ān、peaceful, tranquil, quiet、0
3、才、cái、talent, ability; just, only、0
3、结、jié、knot, tie; join, connect、0
3、目、mù、eye; look, see; division, topic、0
3、感、gǎn、feel, perceive, emotion、0
3、接、jiē、receive; continue; catch; connect、0
3、必、bì、surely, most certainly; must、0
3、市、shì、market, fair; city, town; trade、0
3、直、zhí、straight, erect, vertical、0
3、山、shān、mountain, hill, peak、0
3、空、kōng、empty, hollow, bare, deserted、0
3、决、jué、decide, determine, judge、0
3、马、mǎ、horse; surname; KangXi radical 187、0
3、界、jiè、boundary, limit; domain; society; the world、0
3、放、fàng、put, release, free, liberate、0
3、像、xiàng、a picture, image, figure; to resemble、0
3、且、qiě、moreover, also (post-subject); about to, will soon (pre-verb)、0
3、难、nán、difficult, arduous, hard; unable、0
3、记、jì、record; keep in mind, remember、0
3、南、nán、south; southern part; southward、0
3、求、qiú、seek; demand, request; beseech、0
3、据、jù、to occupy, take possession of; a base, position、0
3、张、zhāng、stretch, extend, expand; sheet、0
3、该、gāi、should, ought to, need to、0
3、万、wàn、ten thousand; innumerable、0
3、清、qīng、clear, pure, clean; peaceful、0
3、带、dài、belt, girdle, band, strap, zone、0
3、风、fēng、wind; air; manners, atmosphere、0
3、根、gēn、root, base(d on); foundation、0
3、干、gàn、oppose, offend; invade; dried、0
3、极、jí、extreme, utmost, furthest, final、0
3、办、bàn、manage, do, handle; deal with、0
3、议、yì、consult, talk over, discuss、0
3、元、yuán、first; dollar; origin; head、0
3、单、dān、single, individual, only; lone、0
3、调、diào、transfer, move, change; tune、0
3、算、suàn、count, calculate, figure; plan、0
3、需、xū、need, require, must、0
3、花、huā、flower; blossoms、0
3、城、chéng、castle; city, town; municipality、0
3、级、jí、level, rank, class; grade、0
3、复、fù、return; repeat; repeatedly、0
3、满、mǎn、fill; full, satisfied、0
3、越、yuè、exceed, go beyond; the more ...、0
3、容、róng、looks, appearance; figure, form、0
3、照、zhào、shine, illumine, reflect、0
3、须、xū、must, have to, necessary、0
3、包、bāo、wrap, pack, bundle; package、0
3、片、piàn、slice, splinter, strip; rad. 91、0
3、史、shǐ、history, chronicle, annals、0
3、乎、hū、interrogative or exclamatory final particle、0
3、查、chá、investigate, examine, seek into、0
3、轻、qīng、light; easy, simple; gentle、0
3、易、yì、change; easy、0
3、除、chú、eliminate, remove, except、0
3、阿、ā、、0
3、李、lǐ、plum; judge; surname、0
3、图、tú、diagram; chart, map, picture、0
3、历、lì、history; calendar、0
3、突、tū、suddenly, abruptly, unexpectedly、0
3、周、zhōu、Zhou dynasty; circumference、0
3、较、jiào、compare; comparatively, more、0
3、注、zhù、concentrate, focus, direct、0
3、选、xuǎn、choose, select; elect; election、0
3、响、xiǎng、make sound, make noise; sound、0
3、参、cān、take part in, intervene; ginseng、0
3、半、bàn、half、0
3、节、jié、knot, node, joint; section、0
3、护、hù、protect, guard, defend, shelter、0
3、音、yīn、sound, tone, pitch, pronunciation、0
3、跟、gēn、heel; to follow, accompany; with、0
3、留、liú、stop, halt; stay, detain, keep、0
3、讲、jiǎng、explain; discuss; talk、0
3、料、liào、consider, conjecture; materials, ingredients、0
3、终、zhōng、end; finally, in the end、0
3、答、dá、answer, reply; return; assent to、0
3、黄、huáng、yellow; surname、0
3、奇、qí、strange, unusual, uncanny, occult、0
3、段、duàn、section, piece, division、0
3、故、gù、ancient, old; reason, because、0
3、河、hé、river; stream; yellow river、0
3、害、hài、injure, harm; destroy, kill、0
3、双、shuāng、set of two, pair, couple; both、0
3、境、jìng、boundary, frontier; area, region、0
3、愿、yuàn、sincere, honest, virtuous、0
3、网、wǎng、net; network; KangXi radical 122、0
3、育、yù、produce, give birth to; educate、0
3、船、chuán、ship, boat, vessel、0
3、脸、liǎn、face; cheek; reputation、0
3、刻、kè、carve, engrave; quarter hour、0
3、刚、gāng、hard, tough, rigid, strong、0
3、般、bān、sort, manner, kind, category、0
3、怕、pà、to fear, be afraid of; apprehensive、0
3、假、jiǎ、falsehood, deception; vacation、0
3、久、jiǔ、long time (ago); time passage, grow late、0
3、拿、ná、take, hold, grasp; bring; with、0
3、阳、yáng、、0
3、急、jí、quick, quickly; urgent, pressing、0
3、居、jū、live, dwell, reside, sit、0
3、环、huán、jade ring or bracelet; ring、0
3、树、shù、tree; plant; set up, establish、0
3、层、céng、storey, layer, floor, stratum、0
3、句、jù、sentence、0
3、简、jiǎn、simple, terse, succinct, a letter、0
3、卡、kǎ、card, punch card; calorie、0
3、担、dān、carry, bear, undertake、0
3、静、jìng、quiet, still, motionless; gentle、0
3、检、jiǎn、check; examine、0
3、差、chà、to differ; different, wrong; nearly, almost; an officer、0
3、角、jiǎo、horn; angle, corner; point、0
3、皮、pí、skin, hide, fur, feather; outer、0
3、啊、a、exclamatory particle、0
3、超、chāo、jump over, leap over; surpass、0
3、银、yín、silver; cash, money, wealth、0
3、怪、guài、strange, unusual, peculiar、0
3、香、xiāng、fragrant, sweet smelling, incense、0
3、铁、tiě、iron; strong, solid, firm、0
3、草、cǎo、grass, straw, thatch, herbs、0
3、脚、jiǎo、leg, foot; base, leg, foundation、0
3、酒、jiǔ、wine, spirits, liquor, alcoholic beverage、0
3、顾、gù、look back; look at; look after、0
3、换、huàn、change、0
3、闻、wén、hear; smell; make known; news、0
3、坏、huài、rotten, spoilt, bad, broken down、0
3、楚、chǔ、name of feudal state; clear、0
3、楼、lóu、building of two or more stories、0
3、画、huà、a painting, picture, drawing; to draw、0
3、耳、ěr、ear; merely, only; handle、0
3、短、duǎn、short; brief; deficient, lacking、0
3、遇、yù、meet, come across, encounter、0
3、康、kāng、peaceful, quiet; happy, healthy、0
3、旧、jiù、old, ancient; former, past、0
3、春、chūn、spring; wanton、0
3、附、fù、adhere to, append; rely on near to、0
3、礼、lǐ、social custom; manners; courtesy、0
3、板、bǎn、plank, board; iron or tin plate、0
3、婚、hūn、get married; marriage, wedding、0
3、鲜、xiān、fresh; delicious; attractive、0
3、词、cí、words; phrase, expression、0
3、择、zé、select, choose, pick out、0
3、健、jiàn、strong, robust, healthy; strength、0
3、借、jiè、borrow; lend; make pretext of、0
3、园、yuán、garden; park, orchard、0
3、牙、yá、tooth, molars, teeth; serrated、0
3、束、shù、bind, control, restrain; bale、0
3、练、liàn、to practice, drill, exercise, train、0
3、爷、yé、father, grandfather、0
3、嘴、zuǐ、mouth, lips、0
3、戏、xì、theatrical play, show、0
3、典、diǎn、law, canon; documentation; classic, scripture、0
3、盘、pán、tray, plate, dish; examine、0
3、忘、wàng、forget; neglect; miss, omit、0
3、赛、sài、compete, contend; contest, race、0
3、趣、qù、、0
3、迎、yíng、receive, welcome, greet、0
3、冰、bīng、ice; ice-cold、0
3、努、nǔ、to exert, strive, make an effort; to pout、0
3、绿、lǜ、green; chlorine、0
3、街、jiē、street, road, thoroughfare、0
3、灯、dēng、lantern, lamp、0
3、夏、xià、summer; great, grand, big、0
3、秋、qiū、autumn, fall; year、0
3、末、mò、final, last, end; insignificant、0
3、蓝、lán、blue; indigo plant; surname、0
3、烧、shāo、burn; bake; heat; roast、0
3、哭、kū、weep, cry, wail、0
3、冒、mào、risk, brave, dare、0
3、惯、guàn、habit, custom; habitually, usual、0
3、鸟、niǎo、bird; KangXi radical 196、0
3、季、jì、quarter of year; season; surname、0
3、鼻、bí、nose; first; KangXi radical 209、0
3、腿、tuǐ、legs, thighs、0
3、迟、chí、late, tardy; slow; delay、0
3、辆、liàng、numerary adjunct for vehicles、0
3、净、jìng、clean, pure; cleanse、0
3、冬、dōng、winter, 11th lunar month、0
3、骑、qí、ride horseback; mount; cavalry、0
3、叔、shū、、0
3、爬、pá、crawl, creep; climb; scramble、0
3、扫、sǎo、sweep, clear away; exterminate、0
3、箱、xiāng、case, box, chest, trunk、0
3、舒、shū、open up, unfold, stretch out; comfortable, easy、0
3、绩、jī、spin; achievements、0
3、饮、yǐn、drink; swallow; kind of drink、0
3、朵、duǒ、cluster of flowers; earlobe、0
3、鞋、xié、shoes, footwear in general、0
3、邮、yóu、postal, mail; post office、0
3、邻、lín、neighbor; neighborhood、0
3、聪、cōng、intelligent, clever, bright、0
3、梯、tī、ladder, steps, stairs; lean、0
3、瓶、píng、jug, pitcher, vase, jar, bottle、0
3、疼、téng、aches, pains; be fond of; love、0
3、熊、xióng、a bear; brilliant; bright; surname、0
3、帽、mào、hat, cap; cap-like tops、0
3、炼、liàn、smelt, refine; distill, condense、0
3、搬、bān、transfer, move, remove, shift、0
3、刷、shuā、brush; clean with brush, scrub、0
3、瘦、shòu、thin, emaciated, lean; meager、0
3、斤、jīn、a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69、0
3、胖、pàng、fat, obese; fatty、0
3、饿、è、hungry; greedy for; hunger、0
3、聊、liáo、somewhat, slightly, at least、0
3、碗、wǎn、bowl, small dish、0
3、渴、kě、thirsty, parched; yearn, pine、0
3、饱、bǎo、、0
3、甜、tián、sweet, sweetness、0
3、矮、ǎi、short, dwarf; low、0
3、裤、kù、trousers, pants、0
3、衫、shān、shirt; robe; gown; jacket、0
3、伞、sǎn、umbrella, parasol, parachute、0
3、姨、yí、、0
3、刮、guā、shave, pare off, scrape、0
3、糕、gāo、cakes, pastry、0
3、裙、qún、skirt, apron, petticoat、0
3、衬、chèn、underwear; inner garments、0
3、锻、duàn、forge metal; temper, refine、0
3、澡、zǎo、wash, bathe、0
3、啤、pí、beer、0
3、蕉、jiāo、banana; plantain、0
3、筷、kuài、chopsticks、0
4、之、zhī、marks preceding phrase as modifier of following phrase; it, him her, them; go to、0
4、部、bù、part, division, section、0
4、无、wú、negative, no, not; KangXi radical 71、0
4、与、yǔ、and; with; to; for; give, grant、0
4、民、mín、people, subjects, citizens、0
4、此、cǐ、this, these; in this case, then、0
4、使、shǐ、cause, send on a mission, order; envoy, messenger, ambassador、0
4、性、xìng、nature, character, sex、0
4、全、quán、maintain, keep whole or intact、0
4、将、jiāng、will, going to, future; general、0
4、由、yóu、cause, reason; from、0
4、并、bìng、、0
4、美、měi、beautiful, pretty; pleasing、0
4、利、lì、gains, advantage, profit, merit、0
4、合、hé、combine, unite, join; gather、0
4、内、nèi、inside、0
4、度、dù、degree, system; manner; to consider、0
4、任、rèn、trust to, rely on, appoint; to bear, duty, office; allow、0
4、海、hǎi、sea, ocean; maritime、0
4、通、tōng、pass through, common, communicate、0
4、原、yuán、source, origin, beginning、0
4、及、jí、extend; reach; come up to; and、0
4、论、lùn、debate; discuss; discourse、0
4、处、chù、place, locale; department、0
4、各、gè、each, individually, every, all、0
4、入、rù、enter, come in(to), join、0
4、活、huó、live, exist, survive; lively、0
4、尔、ěr、you; that, those; final particle、0
4、何、hé、what, why, where, which, how、0
4、反、fǎn、reverse, opposite, contrary, anti、0
4、受、shòu、receive, accept, get; bear, stand、0
4、量、liàng、measure, quantity, capacity、0
4、建、jiàn、build, establish, erect, found、0
